"id","domain","source_type","source_id","source_url","question","context","expected_answer","question_type","difficulty","scoring_rubric"
"habr_879914_012","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое очередь и какой принцип работы она использует?","Раздел про очередь.","Очередь — структура данных с принципом FIFO: первым добавленный элемент извлекается первым.","factual","easy",""
"habr_879914_013","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Чем очередь отличается от стека?","Разделы про стек и очередь.","Стек работает по принципу LIFO, а очередь — по принципу FIFO.","comparison","easy",""
"habr_879914_014","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Для чего может использоваться очередь в программировании?","Раздел про применение очереди.","Очередь используется для планирования задач, обработки запросов, буферизации данных и обхода графа в ширину.","application","medium",""
"habr_879914_015","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое хеш-таблица?","Раздел про хеш-таблицы.","Хеш-таблица хранит пары ключ-значение и использует хеш-функцию для вычисления позиции, где хранить или искать значение.","factual","easy",""
"habr_879914_016","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Почему операции поиска, вставки и удаления в хеш-таблице в среднем считаются O(1)?","Раздел про хеш-таблицы и сложность операций.","В среднем хеш-функция быстро переводит ключ в индекс, поэтому нужная ячейка находится без полного перебора элементов.","reasoning","medium",""
"habr_879914_017","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое коллизия в хеш-таблице?","Раздел про хеш-таблицы.","Коллизия возникает, когда разные ключи дают одинаковый хеш или попадают в одну позицию таблицы.","factual","easy",""
"habr_879914_018","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Какими способами можно обрабатывать коллизии в хеш-таблице?","Раздел про хеш-таблицы и коллизии.","Коллизии можно обрабатывать цепочками, открытой адресацией или другими стратегиями разрешения конфликтов.","factual","medium",""
"habr_879914_019","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое куча как структура данных?","Раздел про кучи.","Куча — это обычно бинарное дерево или массивное представление дерева, где родитель упорядочен относительно потомков по свойству min-heap или max-heap.","factual","medium",""
"habr_879914_020","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Чем min-heap отличается от max-heap?","Раздел про кучи.","В min-heap каждый родитель не больше своих потомков, поэтому минимум находится в корне; в max-heap родитель не меньше потомков, поэтому максимум находится в корне.","comparison","easy",""
"habr_879914_021","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Почему куча удобна для реализации очереди с приоритетом?","Раздел про кучи и применение.","Куча позволяет быстро получать элемент с минимальным или максимальным приоритетом и эффективно поддерживать порядок при добавлении и удалении элементов.","application","medium",""
"habr_879914_022","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое дерево в контексте структур данных?","Раздел про деревья.","Дерево — иерархическая структура из узлов и ребер с корнем, где у узлов могут быть потомки.","factual","easy",""
"habr_879914_023","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое бинарное дерево?","Раздел про деревья.","Бинарное дерево — дерево, в котором у каждого узла не более двух потомков.","factual","easy",""
"habr_879914_024","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что отличает бинарное дерево поиска от обычного бинарного дерева?","Раздел про бинарное дерево поиска.","В бинарном дереве поиска левое поддерево содержит меньшие значения, правое — большие, что позволяет эффективно искать элементы при сбалансированности дерева.","comparison","medium",""
"habr_879914_025","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Почему несбалансированное бинарное дерево поиска может работать медленно?","Раздел про деревья и эффективность поиска.","Если дерево вырождается в цепочку, поиск, вставка и удаление могут стать линейными O(n) вместо логарифмических.","reasoning","medium",""
"habr_879914_026","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Что такое граф?","Раздел про графы.","Граф — структура данных из вершин и ребер, описывающая связи между объектами.","factual","easy",""
"habr_879914_027","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Чем ориентированный граф отличается от неориентированного?","Раздел про графы.","В ориентированном графе ребра имеют направление, а в неориентированном связь между вершинами считается двусторонней.","comparison","easy",""
"habr_879914_028","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Какими способами можно представить граф в памяти?","Раздел про представление графов.","Граф можно представить матрицей смежности или списками смежности; выбор зависит от плотности графа и нужных операций.","factual","medium",""
"habr_879914_029","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Когда матрица смежности может быть удобнее списка смежности?","Раздел про представление графов.","Матрица смежности удобна, когда нужно быстро проверять наличие ребра между двумя вершинами или когда граф плотный.","application","medium",""
"habr_879914_030","data_structures","article","habr_879914","https://habr.com/ru/articles/879914/","Какие структуры данных из статьи лучше всего подходят для быстрого поиска по ключу, обработки задач в порядке поступления и получения элемента с максимальным приоритетом?","Обобщающий вопрос по хеш-таблицам, очередям и кучам.","Для поиска по ключу подходит хеш-таблица, для обработки задач в порядке поступления — очередь, для получения элемента с максимальным приоритетом — max-heap или очередь с приоритетом на куче.","multi_hop","hard",""
